start_time=11APRIL2002 0000
interval=1day
14ml_sl|FLOW,3mile_sl|FLOW,RSAN032|FLOW,SLMZU032|FLOW,523_0|FLOW,RMID015|FLOW,ROLD024|FLOW,RSAC092|FLOW,RSAC101|FLOW,RSAN007|FLOW,RSAN018|FLOW,045_0|FLOW,RSAN037|FLOW,RSAN058|FLOW,307_13500|FLOW,308_0|FLOW,SLDUT007|FLOW,GEORG_SL|FLOW,SLTRM004|FLOW,309_0|FLOW,347+364+374|FLOW,RSAC054|FLOW,LTL_HOLLAND_WEST|FLOW,LTL_HOLLAND_SOUTH|FLOW,PROSPECT_NORTH|FLOW,PROSPECT_SOUTH|FLOW,CALHOUNCUT|FLOW,IS3-1|FLOW,IS3-2+IS3-3+IS3-4|FLOW,SUISUN5|FLOW,MONTZWET_N+S_BREACHES|FLOW,IS9-1|FLOW,IS9-2|FLOW,IS10-1|FLOW,IS10-2|FLOW,IS10-3|FLOW,IS10-4|FLOW,MCCOR_WILLIAMSON-258|FLOW,MCCOR_WILLIAMSON-256+260|FLOW,DECKER_NW|FLOW,SHAGSLOUGH|FLOW,SNODGRASSSLOUGH|FLOW,47_LEN|FLOW,279_LEN|FLOW,280_LEN|FLOW
3244.75,-80.31,3317.82,391.94,555.07,-858.80,-306.04,13923.79,15564.53,4938.87,5894.37,2039.60,1204.49,1536.26,-2.86,1.02,-66.13,3476.24,-1550.70,-1566.28,3328.35,18930.21,-118.68,118.77,3083.28,-3070.76,1.47,-28.40,47.70,12.58,-55.38,-94.87,111.55,19.77,171.40,-376.45,247.09,454.15,-486.19,-1.33,-25.77,-63.26,1441.98,2919.399414,568.0264893
2443.88,-278.41,2989.14,378.22,3.84,-1395.02,-762.49,12096.73,14615.28,2428.71,3656.09,-14.41,228.98,1347.00,-32.70,6.04,-196.02,3545.35,-2171.68,-2223.13,3040.68,11618.03,-124.84,125.43,3175.85,-3079.37,9.40,-24.09,101.40,48.66,0.12,-82.84,150.28,33.81,215.55,-294.73,282.81,405.85,-290.03,43.61,148.30,90.69,-739.73,2291.660156,505.9854736
2375.79,-267.34,3896.91,373.01,-16.70,-1211.37,-595.31,10506.88,12614.54,2767.19,4267.46,743.96,190.35,902.92,-36.09,5.53,-181.01,3160.04,-1792.74,-1843.52,3955.31,11045.53,-130.14,130.65,3088.78,-3011.13,8.03,-25.65,95.78,43.17,38.54,-85.04,144.56,37.40,205.67,-345.79,312.34,312.73,-10.26,43.02,156.62,333.24,-61.61,2605.943359,565.6404419
2404.01,-165.18,4807.94,388.86,149.96,-889.89,-290.28,9468.04,10793.06,4203.49,5837.41,2349.11,617.20,569.08,-20.53,3.32,-107.00,2779.57,-1116.03,-1150.06,4843.67,12936.59,-133.17,133.49,2926.42,-2876.97,5.03,-28.30,72.81,27.64,47.15,-90.17,127.45,35.34,187.14,-416.39,326.28,225.95,-143.59,28.63,106.67,140.79,1563.35,3202.907715,644.2156982
2427.70,-138.16,4572.65,378.79,234.03,-873.06,-273.78,8901.22,10035.01,4286.41,5866.47,2346.81,727.27,566.19,-11.48,1.98,-98.63,2624.02,-990.20,-1014.11,4595.76,13125.04,-132.77,132.97,2809.39,-2778.29,3.10,-29.85,60.57,19.13,42.91,-91.71,116.59,32.85,173.89,-445.68,328.48,213.79,-194.38,19.75,67.85,29.86,1623.24,3283.22168,639.3289795
2471.32,-124.69,4296.93,365.39,349.09,-1012.22,-390.72,8479.33,9511.56,4078.96,5554.61,2054.58,677.44,598.57,-4.14,0.67,-101.36,2492.80,-954.65,-968.89,4310.08,13237.42,-129.29,129.36,2697.23,-2684.70,1.15,-31.11,45.06,9.28,35.16,-93.13,104.17,28.56,157.71,-466.19,320.54,208.70,-215.28,10.94,38.93,6.29,1397.48,3219.606934,619.8640747
2850.31,-57.25,3620.76,402.25,648.30,-857.14,-259.59,9552.55,10491.93,4493.80,5656.94,1908.03,872.98,636.52,12.33,-1.97,-68.65,2589.16,-993.87,-987.92,3610.67,16098.90,-125.14,124.97,2653.09,-2675.11,-2.69,-32.97,16.97,-8.93,17.47,-97.67,83.48,21.06,128.35,-495.39,298.46,230.97,-386.22,-9.10,-30.34,-153.19,1385.84,3266.571289,589.8842773
2729.00,-116.63,2630.62,429.74,523.25,-843.72,-271.39,9595.83,11042.47,3187.19,4223.79,504.96,474.91,586.84,3.78,-0.38,-112.60,2779.14,-1421.50,-1426.72,2632.51,13457.82,-116.56,116.53,2654.22,-2658.49,-0.61,-30.02,32.09,5.19,9.40,-89.61,93.01,20.58,136.47,-417.23,277.22,288.64,-345.10,1.99,-14.82,-92.91,14.55,2792.292236,503.3603821
2567.36,-113.01,2413.97,489.73,523.63,-805.92,-261.07,9145.75,10578.44,2694.93,3737.56,201.75,350.94,546.34,0.85,-0.02,-104.48,2687.05,-1391.53,-1398.78,2420.18,12227.29,-107.89,107.88,2553.37,-2555.63,-0.25,-28.29,34.77,8.36,15.16,-84.26,92.71,18.63,134.92,-377.72,257.86,298.57,-292.91,4.77,-1.42,1.62,-280.96,2635.622314,477.4059143
2285.62,-105.77,2835.94,527.23,476.41,-896.19,-351.35,7929.30,9094.96,2479.53,3675.42,534.84,275.33,494.06,-1.55,0.29,-92.62,2400.72,-1106.03,-1117.23,2847.44,10708.19,-99.51,99.52,2389.59,-2391.71,0.11,-25.90,39.87,11.99,19.42,-79.61,95.68,18.76,145.94,-352.67,242.94,264.59,-167.60,6.23,-4.76,100.29,25.39,2558.103271,487.1731262
3310.74,110.68,3869.61,463.09,1298.17,-1087.13,-511.42,9424.18,9419.58,5161.10,5946.15,2635.06,866.27,502.99,47.55,-8.68,28.71,2144.68,-376.03,-328.00,3819.90,20523.09,-94.98,94.13,2218.95,-2357.67,-13.35,-33.93,-49.11,-54.12,-22.36,-104.06,33.86,0.78,78.40,-544.12,209.81,172.96,-285.66,-62.76,-199.32,-71.04,2344.46,3160.29541,575.0872192
3271.91,62.48,4023.19,331.10,1178.23,-1670.46,-1027.50,9246.01,9474.94,4543.49,5253.23,2173.80,431.00,484.93,47.43,-7.83,-22.32,2153.29,-560.85,-520.62,3973.82,18713.27,-87.34,86.55,2170.09,-2309.10,-12.50,-31.63,-38.79,-43.16,-81.96,-104.24,45.93,-0.80,105.29,-496.66,184.61,148.77,-312.24,-66.50,-264.76,-193.03,1917.49,2716.364258,536.3739014
